"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"25-JAN-2024","TATASTEEL","Tata Steel Limited","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","11,44,996","135.15","-"
"25-JAN-2024","TATASTEEL","Tata Steel Limited","SOCIETE GENERALE","SELL","11,44,996","135.15","-"
"25-JAN-2024","TCS","Tata Consultancy Serv Ltd","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","25,078","3,841.80","-"
"25-JAN-2024","TCS","Tata Consultancy Serv Ltd","MARSHALL WACE INVESTMENT STRATEGIES TOPS FUND","BUY","1,946","3,841.80","-"
"25-JAN-2024","TCS","Tata Consultancy Serv Ltd","SOCIETE GENERALE","SELL","27,024","3,841.80","-"
"25-JAN-2024","TITAN","Titan Company Limited","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","3,586","3,767.85","-"
"25-JAN-2024","TITAN","Titan Company Limited","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","55,458","3,767.85","-"
"25-JAN-2024","TITAN","Titan Company Limited","MARSHALL WACE INVESTMENT STRATEGIES TOPS FUND","BUY","5,208","3,767.85","-"
"25-JAN-2024","TITAN","Titan Company Limited","SOCIETE GENERALE","SELL","64,252","3,767.85","-"
"25-JAN-2024","UBL","United Breweries Limited","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","63,597","1,876.70","-"
"25-JAN-2024","UBL","United Breweries Limited","MARSHALL WACE INVESTMENT STRATEGIES TOPS FUND","BUY","4,793","1,876.70","-"
"25-JAN-2024","UBL","United Breweries Limited","SOCIETE GENERALE","SELL","68,390","1,876.70","-"
"25-JAN-2024","UNIONBANK","Union Bank of India","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","1,16,01,714","142.85","-"
"25-JAN-2024","UNIONBANK","Union Bank of India","MARSHALL WACE INVESTMENT STRATEGIES GLOBAL FINANCIALS MARKET NEUTRAL FUND","BUY","1,76,100","142.85","-"
"25-JAN-2024","UNIONBANK","Union Bank of India","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","20,338","142.85","-"
"25-JAN-2024","UNIONBANK","Union Bank of India","MARSHALL WACE INVESTMENT STRATEGIES TOPS FUND","BUY","6,77,384","142.85","-"
"25-JAN-2024","UNIONBANK","Union Bank of India","SOCIETE GENERALE","SELL","1,24,75,536","142.85","-"
"25-JAN-2024","WIPRO","Wipro Ltd","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","1,75,224","478.05","-"
"25-JAN-2024","WIPRO","Wipro Ltd","MARSHALL WACE INVESTMENT STRATEGIES TOPS FUND","BUY","1,74,348","478.05","-"
"25-JAN-2024","WIPRO","Wipro Ltd","SOCIETE GENERALE","SELL","3,49,572","478.05","-"
"25-JAN-2024","ZOMATO","Zomato Limited","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","52,90,264","136.20","-"
"25-JAN-2024","ZOMATO","Zomato Limited","MARSHALL WACE INVESTMENT STRATEGIES  SYSTEMATIC ALPHA PLUS FUND","BUY","5,35,329","136.20","-"
"25-JAN-2024","ZOMATO","Zomato Limited","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","21,43,213","136.20","-"
"25-JAN-2024","ZOMATO","Zomato Limited","MARSHALL WACE INVESTMENT STRATEGIES TOPS FUND","BUY","6,81,638","136.20","-"
"25-JAN-2024","ZOMATO","Zomato Limited","SOCIETE GENERALE","SELL","86,50,444","136.20","-"
"29-JAN-2024","INFIBEAM","Infibeam Avenues Limited","ABHISHEK MAYUR DESAI","SELL","30,00,000","34.90","-"
"29-JAN-2024","INFIBEAM","Infibeam Avenues Limited","SONAL DESAI","BUY","30,00,000","34.90","-"
"31-JAN-2024","INFIBEAM","Infibeam Avenues Limited","ABHISHEK MAYUR DESAI","SELL","29,00,000","35.55","-"
"31-JAN-2024","INFIBEAM","Infibeam Avenues Limited","SONAL DESAI","BUY","29,00,000","35.55","-"
